"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.728","74.786","74.271","73.693","73.75","73.943","73.707","73.135","72.827","72.376","72.224","72","71.923","71.662","71.623","72.196","72.33","72.61","72.7","72.369","72.442","72.254","71.813","71.471","71.038","71.176","70.698","70.791","71.144","71.308","70.078","70.927","71.394","71.612","70.918","70.685",
"Austria","AUT","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.756","69.961","70.144","69.962","70.367","70.084","69.532","68.896","68.924","69.07","68.746","67.734","67.995","67.936","65.847","65.83","66.123","67","66.95","66.772","66.556","66.3","66.365","66.388","65.921","65.928","66.318","66.244","66.682","66.544","65.75","66.164","66.325","66.13","65.842","65.418",
"Azerbaijan","AZE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.493","75.658","78.479","81.796","84.817","86.626","86.541","85.84","84.602","83.639","82.192","79.639","76.743","75.07","72.305","70.652","68.987","67.964","65.856","64.285","62.086","63.19","64.278","64.777","65.621","66.304","67.59","68.185","68.45","68.278","70.328","66.456","67.616","67.164","66.664","66.02",
"Burundi","BDI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.713","89.125","88.525","87.706","86.889","86.243","85.357","84.376","83.413","82.67","81.92","81.197","80.491","79.803","79.157","78.506","77.857","77.678","77.524","77.522","77.542","77.457","77.404","77.389","77.359","78.151","78.805","79.062","78.978","78.553","78.534","77.651","77.919","77.581","77.215","76.971",
"Belgium","BEL","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.865","61.239","61.01","60.462","61.09","61.12","60.932","60.639","60.558","61.169","61.437","60.381","60.245","60.158","60.196","61.378","60.852","61.152","60.864","60.424","60.899","59.82","59.826","59.733","59.306","58.954","58.771","58.95","58.793","58.908","58.306","58.93","59.323","59.18","59.298","58.951",
"Benin","BEN","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.703","88.695","88.673","87.728","86.782","85.839","84.868","83.875","82.863","81.831","80.777","79.698","78.592","78.112","77.632","77.155","76.677","76.193","75.71","75.226","74.742","74.257","74.46","74.662","74.865","75.068","75.27","75.473","75.676","75.878","75.99","77.414","77.946","77.762","77.568","77.558",
"Burkina Faso","BFA","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.789","88.895","88.727","88.555","88.379","88.199","88.017","87.832","87.639","87.438","87.233","87.025","86.813","86.598","86.382","86.165","85.948","85.733","85.521","85.306","85.089","84.869","84.644","84.416","84.185","83.95","83.711","83.47","83.227","82.983","81.152","80.544","79.529","77.906","76.222","76.135",
"Bangladesh","BGD","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.642","87.607","87.538","87.442","87.319","87.165","86.994","86.853","86.752","86.665","86.59","86.603","86.69","86.764","86.829","86.884","86.946","85.842","84.677","83.447","82.151","82.084","81.995","81.897","81.323","80.736","80.134","81.407","81.141","80.95","80.552","81.332","81.385","81.307","80.592","80.404",
"Bulgaria","BGR","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.872","55.839","55.83","55.694","55.578","55.44","55.207","55.948","55.718","56.215","55.988","56.635","56.075","55.846","56.492","56.019","57.678","59.435","61.247","60.587","59.609","58.297","58.774","59.738","59.963","60.111","59.639","61.667","61.957","63.455","62.781","62.128","63.188","63.278","62.575","62.362",
"Bahrain","BHR","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.063","87.975","87.692","87.006","86.312","85.685","85.172","84.796","84.57","84.478","84.499","83.972","82.771","81.661","80.896","81.375","82.237","83.403","84.73","86.07","86.922","86.482","86.699","86.74","86.575","86.695","87.031","87.221","87.075","86.717","84.331","84.137","85.694","86.165","86.006","85.871",
"Bahamas, The","BHS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.277","79.855","80.395","80.892","81.344","81.336","81.307","81.252","81.167","81.051","80.904","80.728","80.524","80.294","80.042","79.775","79.507","79.238","78.981","78.737","78.514","78.331","78.183","78.069","77.989","77.94","77.909","77.912","77.924","77.896","71.322","72.773","77.796","77.621","77.393","77.197",
"Bosnia and Herzegovina","BIH","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.075","68.494","68.784","68.654","68.375","67.856","67.315","66.941","66.579","66.274","65.854","65.555","65.156","64.818","64.506","64.202","63.924","63.764","63.697","63.727","63.548","63.545","63.308","62.924","62.643","62.405","62.103","61.715","61.311","60.798","59.199","59.376","60.496","60.624","60.354","59.978",
"Belarus","BLR","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.626","66.464","66.666","66.723","67.081","67.462","67.056","66.283","65.845","65.772","66.193","66.502","66.68","66.822","66.934","67.098","67.351","67.674","68.153","68.722","69.281","69.82","70.242","70.57","70.799","70.958","71.104","71.504","71.96","71.369","71.356","71.176","71.38","70.907","70.43","69.858",
"Belize","BLZ","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.586","77.551","77.531","77.538","77.503","78.076","78.624","79.163","77.909","79.091","79.089","79.08","79.071","79.065","79.059","79.052","79.046","79.039","79.03","79.02","78.98","78.914","78.852","78.792","79.601","79.477","79.331","79.267","80.385","82.295","67.857","73.912","73.023","71.049","69.766","71.641",
"Bermuda","BMU","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.544","82.673","82.5","82.392","82.209","82.067","81.934","81.873","81.636","81.4","81.165","80.934","80.717","80.511","80.305","80.099","79.891","79.682","79.472","79.26","79.046","78.832","78.615","78.398","78.179","77.958","77.736","78.106","80.002","82.048","79.507","84.557","84.873","84.357","84.324","84.439",
"Brazil","BRA","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.448","85.468","84.868","84.238","83.578","82.894","80.706","81.388","80.844","80.858","80.217","79.547","79.803","79.444","79.504","79.651","79.282","78.725","78.741","78.666","77.69","76.693","76.43","76.293","75.857","75.709","75.54","75.16","74.881","74.917","71.101","72.914","73.67","73.116","73.602","73.371",
"Barbados","BRB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.829","76.072","75.197","75.647","76.059","76.678","74.74","75.664","75.685","75.67","75.708","75.744","75.682","75.634","76.214","75.859","75.508","75.158","74.782","74.361","73.943","73.531","72.843","73.117","69.834","69.579","70.019","70.242","70.274","68.644","66.908","66.198","70.06","69.329","68.984","68.747",
"Brunei Darussalam","BRN","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.947","82.339","82.284","82.16","81.952","81.66","81.311","80.942","80.562","80.163","79.738","79.276","78.904","78.497","78.076","77.653","77.209","76.621","75.975","75.479","75.148","74.883","74.516","74.04","73.519","72.971","72.432","71.94","74.021","73.255","72.176","71.79","73.105","73.359","73.057","72.802",
